,neuron_idx,layer_name,real_accuracy,pseudo_accuracy,low_freq_accuracy,high_freq_accuracy,simple_accuracy,complex_accuracy,primacy_accuracy,recency_accuracy,short_accuracy,long_accuracy
23,23,encoder,1.0,0.9625,1.0,1.0,1.0,1.0,0.9925,0.9916666666666667,1.0,0.975
24,24,encoder,0.95375,0.8975,0.9270833333333334,0.9573863636363636,0.95,0.9575,0.9716666666666667,0.9416666666666667,0.995,0.875
25,25,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
26,26,encoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9966666666666667,0.995,1.0,0.9866666666666667
27,27,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
28,28,encoder,0.98125,0.9375,0.96875,0.9829545454545454,0.99,0.9725,0.98,0.9725,0.9983333333333333,0.935
29,29,encoder,0.99875,0.9725,1.0,0.9985795454545454,1.0,0.9975,0.9933333333333333,0.9925,1.0,0.98
30,30,encoder,0.99375,0.9675,0.9791666666666666,0.9957386363636364,0.995,0.9925,0.9891666666666666,0.9916666666666667,0.9983333333333333,0.9716666666666667
31,31,encoder,0.645,0.5675,0.6458333333333333,0.6448863636363636,0.65,0.64,0.6758333333333333,0.7316666666666667,0.845,0.3933333333333333
32,32,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.9816666666666667
33,33,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.9816666666666667
34,34,encoder,0.9825,0.9375,0.9895833333333334,0.9815340909090909,0.985,0.98,0.9825,0.9725,0.9983333333333333,0.9366666666666666
35,35,encoder,0.99375,0.9525,0.96875,0.9971590909090909,0.995,0.9925,0.985,0.9858333333333333,1.0,0.96
36,36,encoder,0.99625,0.9575,1.0,0.9957386363636364,0.9975,0.995,0.9875,0.99,1.0,0.9666666666666667
37,37,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.98
38,38,encoder,0.99375,0.96,0.9895833333333334,0.9943181818181818,0.995,0.9925,0.9858333333333333,0.9908333333333333,1.0,0.965
39,39,encoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9966666666666667,0.9958333333333333,1.0,0.9866666666666667
40,40,encoder,0.9975,0.9725,0.9895833333333334,0.9985795454545454,0.9975,0.9975,0.9966666666666667,0.9908333333333333,1.0,0.9783333333333333
41,41,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9941666666666666,1.0,0.98
42,42,encoder,0.985,0.945,0.9791666666666666,0.9857954545454546,0.985,0.985,0.9758333333333333,0.9883333333333333,0.9933333333333333,0.95
43,43,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
44,44,encoder,0.9975,0.97,0.9895833333333334,0.9985795454545454,1.0,0.995,0.995,0.9891666666666666,1.0,0.9766666666666667
45,45,encoder,0.98375,0.9475,0.9375,0.9900568181818182,0.98,0.9875,0.9733333333333334,0.9825,0.9983333333333333,0.945
46,46,encoder,0.99375,0.9625,0.9791666666666666,0.9957386363636364,0.9925,0.995,0.9866666666666667,0.9925,0.9983333333333333,0.9683333333333334
47,47,encoder,0.99875,0.97,1.0,0.9985795454545454,1.0,0.9975,0.995,0.9908333333333333,1.0,0.9783333333333333
48,48,encoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9925,0.9925,1.0,0.9783333333333333
49,49,encoder,0.21375,0.19499999999999995,0.13541666666666663,0.22443181818181823,0.2875,0.14,0.9641666666666666,0.20750000000000002,0.41500000000000004,0.0
50,50,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
51,51,encoder,0.99625,0.9525,0.9791666666666666,0.9985795454545454,0.995,0.9975,0.9875,0.9858333333333333,0.9983333333333333,0.965
52,52,encoder,1.0,0.965,1.0,1.0,1.0,1.0,0.9933333333333333,0.9908333333333333,1.0,0.9766666666666667
53,53,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9958333333333333,0.9925,1.0,0.9816666666666667
54,54,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
55,55,encoder,0.99875,0.965,0.9895833333333334,1.0,1.0,0.9975,0.9933333333333333,0.99,1.0,0.975
56,56,encoder,0.955,0.9,0.96875,0.953125,0.96,0.95,0.9641666666666666,0.9541666666666667,0.9966666666666667,0.8766666666666667
57,57,encoder,0.995,0.9425,1.0,0.9943181818181818,0.995,0.995,0.9941666666666666,0.98,1.0,0.955
58,58,encoder,0.99875,0.97,1.0,0.9985795454545454,0.9975,1.0,0.9925,0.9925,1.0,0.9783333333333333
